image,description,category,collection,sugested_price(€)
https://www.tradeinn.com/h/13975/139752841/nsp-elements-hdt-fun-76-surfboard.jpg,nsp elements hdt fun 7´6´´ surfboard,equipment,surfboard,569.99
https://www.tradeinn.com/h/13975/139752863/nsp-protech-fun-68-surfboard.jpg,nsp protech fun 6´8´´ surfboard,equipment,surfboard,514.49
https://www.tradeinn.com/h/13975/139752885/nsp-shapers-union-slot-machine-510-pu-surfboard.jpg,nsp shapers union slot machine 5´10´´ pu surfboard,equipment,surfboard,717.49
https://www.tradeinn.com/h/13975/139752887/nsp-shapers-union-slot-machine-58-pu-surfboard.jpg,nsp shapers union slot machine 5´8´´ pu surfboard,equipment,surfboard,706.49
https://www.tradeinn.com/h/13805/138050435/nsp-sundownder-soft-80-surfboard.jpg,nsp sundownder soft 8´0´´ surfboard,equipment,surfboard,409.99
https://www.tradeinn.com/h/13805/138050436/nsp-sundownder-soft-90-surfboard.jpg,nsp sundownder soft 9´0´´ surfboard,equipment,surfboard,444.99
https://www.tradeinn.com/h/13795/137952756/nsp-protech-tinder-d8-510-surfboard.jpg,nsp protech tinder-d8 5´10´´ surfboard,equipment,surfboard,423.49
https://www.tradeinn.com/h/13795/137952747/nsp-protech-fun-76-surfboard.jpg,nsp protech fun 7´6´´ surfboard,equipment,surfboard,472.99
https://www.tradeinn.com/h/13795/137952630/nsp-cocoflax-dream-rider-72-surfboard.jpg,nsp cocoflax dream rider 7´2´´ surfboard,equipment,surfboard,767.49
https://www.tradeinn.com/h/13795/137952632/nsp-cocoflax-dream-rider-76-surfboard.jpg,nsp cocoflax dream rider 7´6´´ surfboard,equipment,surfboard,757.99
https://www.tradeinn.com/h/13795/137952646/nsp-cse-chopstix-62-surfboard.jpg,nsp cse chopstix 6´2´´ surfboard,equipment,surfboard,556.99
https://www.tradeinn.com/h/13795/137952650/nsp-cse-equalizer-84-surfboard.jpg,nsp cse equalizer 8´4´´ surfboard,equipment,surfboard,1171.99
https://www.tradeinn.com/h/13795/137952655/nsp-cse-the-cheater-80-surfboard.jpg,nsp cse the cheater 8´0´´ surfboard,equipment,surfboard,806.99
https://www.tradeinn.com/h/13795/137952656/nsp-cse-tinder-d8-510-surfboard.jpg,nsp cse tinder-d8 5´10´´ surfboard,equipment,surfboard,565.99
https://www.tradeinn.com/h/13795/137952672/nsp-elements-fish-56-surfboard.jpg,nsp elements fish 5´6´´ surfboard,equipment,surfboard,488.49
https://www.tradeinn.com/h/13795/137952685/nsp-elements-fish-68-surfboard.jpg,nsp elements fish 6´8´´ surfboard,equipment,surfboard,481.99
https://www.tradeinn.com/h/13795/137952686/nsp-elements-fish-72-surfboard.jpg,nsp elements fish 7´2´´ surfboard,equipment,surfboard,494.99
https://www.tradeinn.com/h/13795/137952688/nsp-elements-fish-72-surfboard.jpg,nsp elements fish 7´2´´ surfboard,equipment,surfboard,494.99
https://www.tradeinn.com/h/13795/137952691/nsp-elements-fun-68-surfboard.jpg,nsp elements fun 6´8´´ surfboard,equipment,surfboard,503.99
https://www.tradeinn.com/h/13795/137952694/nsp-elements-fun-72-surfboard.jpg,nsp elements fun 7´2´´ surfboard,equipment,surfboard,517.99
https://www.tradeinn.com/h/13795/137952697/nsp-elements-fun-76-surfboard.jpg,nsp elements fun 7´6´´ surfboard,equipment,surfboard,540.99
https://www.tradeinn.com/h/13795/137952700/nsp-elements-long-80-surfboard.jpg,nsp elements long 8´0´´ surfboard,equipment,surfboard,526.99
https://www.tradeinn.com/h/13795/137952744/nsp-protech-fun-68-surfboard.jpg,nsp protech fun 6´8´´ surfboard,equipment,surfboard,463.49
https://www.tradeinn.com/h/13795/137952748/nsp-protech-fun-76-surfboard.jpg,nsp protech fun 7´6´´ surfboard,equipment,surfboard,472.99
https://www.tradeinn.com/h/13795/137952750/nsp-protech-long-80-surfboard.jpg,nsp protech long 8´0´´ surfboard,equipment,surfboard,527.99
https://www.tradeinn.com/h/13795/137952754/nsp-protech-long-90-surfboard.jpg,nsp protech long 9´0´´ surfboard,equipment,surfboard,545.49
https://www.tradeinn.com/h/13795/137952762/nsp-protech-tinder-d8-64-surfboard.jpg,nsp protech tinder-d8 6´4´´ surfboard,equipment,surfboard,436.99
https://www.tradeinn.com/h/13795/137952764/nsp-protech-tinder-d8-66-surfboard.jpg,nsp protech tinder-d8 6´6´´ surfboard,equipment,surfboard,444.99
https://www.tradeinn.com/h/13761/137614075/nsp-soft-wide-84-surfboard.jpg,nsp soft wide 8´4´´ surfboard,equipment,surfboard,818.99
https://www.tradeinn.com/h/13761/137614052/nsp-soft-fun-74-surfboard.jpg,nsp soft fun 7´4´´ surfboard,equipment,surfboard,587.99
https://www.tradeinn.com/h/13795/137952637/nsp-cocoflax-hooligan-90-surfboard.jpg,nsp cocoflax hooligan 9´0´´ surfboard,equipment,surfboard,822.49
